henvendelse_id,kunde_id,dato,kanal,tekst
H016207,K132045,2024-01-30,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H013075,K125778,2024-01-30,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H006326,K112172,2024-01-30,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H012984,K125623,2024-01-30,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Handelsbanken.
H014192,K128068,2024-01-30,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H017069,K133787,2024-01-30,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H006729,K113028,2024-01-30,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H002062,K104048,2024-01-31,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009268,K118111,2024-01-31,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H015397,K130467,2024-01-31,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H015886,K131427,2024-01-31,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H001564,K103060,2024-01-31,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H004112,K107918,2024-01-31,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H003698,K107174,2024-01-31,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H003508,K106809,2024-01-31,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.09 % når nye kunder får bedre betingelser?
H005105,K109819,2024-01-31,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H004591,K108812,2024-01-31,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H010749,K121093,2024-01-31,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H012990,K125632,2024-01-31,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H009931,K119455,2024-01-31,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H001780,K103509,2024-01-31,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H000309,K100651,2024-01-31,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H009964,K119514,2024-01-31,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H005926,K111408,2024-01-31,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H005265,K110112,2024-02-01,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H007148,K113973,2024-02-01,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H003634,K107061,2024-02-01,e-post,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H014676,K129016,2024-02-01,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H008109,K115840,2024-02-01,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H004577,K108782,2024-02-01,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H006840,K113248,2024-02-01,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H015400,K130470,2024-02-01,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H002441,K104746,2024-02-01,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H011284,K122222,2024-02-01,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H006455,K112472,2024-02-01,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H018449,K136501,2024-02-01,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H016058,K131761,2024-02-01,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H001936,K103792,2024-02-01,telefon,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H010299,K120260,2024-02-01,chat,"Hei, jeg vurderer å flytte boliglånet mitt. Danske Bank tilbyr 5.05 % – kan dere matche det?"
H016829,K133289,2024-02-01,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H004767,K109152,2024-02-01,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H002401,K104671,2024-02-02,telefon,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos DNB.
H019147,K138007,2024-02-02,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H005478,K110539,2024-02-02,e-post,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H006776,K113122,2024-02-02,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H019015,K137715,2024-02-02,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H001057,K102122,2024-02-02,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H004412,K108461,2024-02-02,e-post,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H000517,K101116,2024-02-02,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H000003,K100012,2024-02-02,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H008642,K116950,2024-02-02,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H014272,K128205,2024-02-02,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H001747,K103428,2024-02-02,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H005013,K109638,2024-02-02,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H014497,K128676,2024-02-02,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H003717,K107210,2024-02-02,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med en annen bank."
H016317,K132280,2024-02-02,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H010836,K121311,2024-02-02,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H012287,K124250,2024-02-02,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H015133,K129952,2024-02-02,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011045,K121743,2024-02-03,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H012612,K124846,2024-02-03,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H015452,K130582,2024-02-03,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H003249,K106318,2024-02-03,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H016944,K133544,2024-02-03,telefon,"Hei, jeg vurderer å flytte boliglånet mitt. Danske Bank tilbyr 4.79 % – kan dere matche det?"
H019389,K138517,2024-02-03,e-post,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H000858,K101762,2024-02-03,e-post,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H020111,K139893,2024-02-03,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H004582,K108792,2024-02-03,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H005586,K110722,2024-02-03,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H014848,K129379,2024-02-03,chat,"Har fått tilbud fra Danske Bank på 5.18 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H012246,K124158,2024-02-03,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H001814,K103572,2024-02-03,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H005466,K110529,2024-02-03,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H013568,K126889,2024-02-03,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H005500,K110562,2024-02-03,telefon,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H012966,K125592,2024-02-03,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H016662,K132960,2024-02-03,e-post,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Danske Bank."
H019627,K138989,2024-02-03,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H006218,K111953,2024-02-03,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos DNB.
H016087,K131820,2024-02-03,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H004787,K109190,2024-02-03,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H020160,K139996,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H004585,K108799,2024-02-04,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H004914,K109458,2024-02-04,telefon,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med Nordea."
H008850,K117322,2024-02-04,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H003348,K106531,2024-02-04,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H010610,K120834,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011716,K123053,2024-02-04,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H006743,K113053,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H011890,K123397,2024-02-04,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H004917,K109474,2024-02-04,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H019132,K137983,2024-02-04,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H013753,K127253,2024-02-04,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H000684,K101426,2024-02-04,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H015558,K130805,2024-02-04,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H019714,K139131,2024-02-04,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H015862,K131398,2024-02-04,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H007042,K113727,2024-02-04,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H015754,K131206,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H001651,K103263,2024-02-04,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H007176,K114027,2024-02-04,chat,"Hei, jeg vurderer å flytte boliglånet mitt. Nordea tilbyr 5.21 % – kan dere matche det?"
H009408,K118423,2024-02-04,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H006600,K112782,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H013013,K125674,2024-02-04,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H005309,K110185,2024-02-04,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H017607,K134898,2024-02-04,telefon,"Hei, jeg vurderer å flytte boliglånet mitt. DNB tilbyr 4.96 % – kan dere matche det?"
H010744,K121087,2024-02-05,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H005773,K111070,2024-02-05,e-post,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H020079,K139816,2024-02-05,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H017503,K134655,2024-02-05,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H003297,K106403,2024-02-05,chat,"Hei, jeg vurderer å flytte boliglånet mitt. Danske Bank tilbyr 5.09 % – kan dere matche det?"
H007154,K113982,2024-02-05,e-post,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H014982,K129644,2024-02-05,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H000169,K100336,2024-02-05,e-post,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H009123,K117827,2024-02-05,e-post,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H015333,K130351,2024-02-05,e-post,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H017456,K134563,2024-02-05,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H014911,K129506,2024-02-05,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H007782,K115194,2024-02-05,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H019386,K138506,2024-02-05,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H018632,K136903,2024-02-05,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H004934,K109514,2024-02-05,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H001602,K103163,2024-02-05,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.16 % når nye kunder får bedre betingelser?
H005001,K109625,2024-02-05,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H014374,K128397,2024-02-05,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H017441,K134534,2024-02-05,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H014085,K127871,2024-02-05,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H003926,K107588,2024-02-05,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H014789,K129262,2024-02-05,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H003913,K107560,2024-02-06,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.99 % når nye kunder får bedre betingelser?
H003194,K106223,2024-02-06,e-post,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H001711,K103371,2024-02-06,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H016904,K133463,2024-02-06,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H004136,K107958,2024-02-06,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.13 % når nye kunder får bedre betingelser?
H013835,K127418,2024-02-06,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H017910,K135440,2024-02-06,e-post,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H019004,K137704,2024-02-06,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H017399,K134450,2024-02-06,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H016915,K133491,2024-02-06,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H012028,K123680,2024-02-06,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H009417,K118443,2024-02-06,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H000113,K100236,2024-02-06,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H014623,K128935,2024-02-06,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H007236,K114147,2024-02-06,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H012868,K125383,2024-02-06,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.92 % når nye kunder får bedre betingelser?
H015211,K130095,2024-02-06,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H011066,K121785,2024-02-06,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H015947,K131544,2024-02-06,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H014460,K128600,2024-02-06,chat,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
H000732,K101511,2024-02-06,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.24 % når nye kunder får bedre betingelser?
H006208,K111931,2024-02-06,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H006775,K113121,2024-02-06,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.08 % når nye kunder får bedre betingelser?
H005248,K110089,2024-02-06,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H007372,K114410,2024-02-06,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H012060,K123773,2024-02-07,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H012064,K123784,2024-02-07,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H004102,K107904,2024-02-07,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H017380,K134421,2024-02-07,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H001289,K102568,2024-02-07,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H018499,K136598,2024-02-07,telefon,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos DNB.
H002084,K104091,2024-02-07,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.4 % når nye kunder får bedre betingelser?
H003854,K107451,2024-02-07,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H005108,K109823,2024-02-07,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H017843,K135322,2024-02-07,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med DNB."
H010804,K121201,2024-02-07,e-post,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H009210,K118002,2024-02-07,telefon,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H009622,K118876,2024-02-07,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H012824,K125296,2024-02-07,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H016828,K133288,2024-02-07,e-post,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H005123,K109841,2024-02-07,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H013293,K126289,2024-02-07,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H014426,K128514,2024-02-07,chat,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos Bulder.
H001521,K102980,2024-02-07,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H018798,K137255,2024-02-07,e-post,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H007235,K114146,2024-02-07,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H010036,K119662,2024-02-07,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H014161,K128009,2024-02-07,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H011391,K122423,2024-02-08,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H011160,K121987,2024-02-08,telefon,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H012917,K125481,2024-02-08,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H000524,K101130,2024-02-08,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H011146,K121947,2024-02-08,e-post,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H018022,K135674,2024-02-08,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H018692,K137028,2024-02-08,chat,"Har fått tilbud fra DNB på 5.2 %. Om dere ikke kan gjøre noe med renten min, bytter jeg bank."
H019205,K138120,2024-02-08,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H005096,K109798,2024-02-08,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.13 % når nye kunder får bedre betingelser?
H006271,K112052,2024-02-08,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H005468,K110530,2024-02-08,chat,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.09 % når nye kunder får bedre betingelser?
H017590,K134854,2024-02-08,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.11 % når nye kunder får bedre betingelser?
H003039,K105929,2024-02-08,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H013041,K125717,2024-02-08,e-post,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H012259,K124189,2024-02-08,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H010134,K119884,2024-02-08,chat,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H015512,K130687,2024-02-08,chat,"Hei, jeg vurderer å flytte boliglånet mitt. Nordea tilbyr 5.01 % – kan dere matche det?"
H012908,K125457,2024-02-08,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H010676,K120945,2024-02-08,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H016854,K133341,2024-02-08,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H007258,K114199,2024-02-08,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H001385,K102716,2024-02-08,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H009219,K118018,2024-02-08,telefon,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H004198,K108087,2024-02-09,chat,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H008916,K117431,2024-02-09,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H014489,K128658,2024-02-09,telefon,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H008444,K116508,2024-02-09,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H008822,K117275,2024-02-09,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H014908,K129501,2024-02-09,chat,"Får ikke logget inn i mobilbanken med BankID, appen henger på innlogging."
H018652,K136962,2024-02-09,chat,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
H010284,K120219,2024-02-09,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H018675,K136997,2024-02-09,e-post,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 4.8 % når nye kunder får bedre betingelser?
H011019,K121708,2024-02-09,telefon,"Hvordan melder jeg meg på kundeprogrammet, og hva koster det?"
H005892,K111315,2024-02-09,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H002651,K105147,2024-02-09,chat,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H001228,K102452,2024-02-09,telefon,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H016020,K131685,2024-02-09,chat,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H006816,K113210,2024-02-09,e-post,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med DNB."
H018556,K136721,2024-02-09,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H000337,K100711,2024-02-09,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H005573,K110703,2024-02-09,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H009743,K119119,2024-02-09,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H019360,K138455,2024-02-09,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H011854,K123326,2024-02-09,telefon,Ønsker en oversikt over hva det koster å avslutte kundeforholdet. Vurderer å samle alt hos en annen bank.
H018274,K136160,2024-02-09,chat,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H003739,K107247,2024-02-09,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H002331,K104522,2024-02-09,e-post,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H001614,K103200,2024-02-09,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H018534,K136671,2024-02-10,e-post,Kan noen forklare renteøkningen fra 1. september? Synes det begynner å bli i overkant.
H015190,K130050,2024-02-10,e-post,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H004877,K109383,2024-02-10,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H013231,K126169,2024-02-10,chat,"Hei, jeg ønsker et møte om betingelsene på boliglånet. Renten min virker høy sammenlignet med DNB."
H017087,K133822,2024-02-10,chat,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H015154,K129975,2024-02-10,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H005083,K109778,2024-02-10,telefon,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H002530,K104913,2024-02-10,chat,Vurderer BSU vs. aksjesparekonto – hva lønner seg for meg?
H003506,K106807,2024-02-10,telefon,Hva inngår egentlig i kundeprogrammet? Vurderer om det er verdt månedsprisen.
H016022,K131690,2024-02-10,chat,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H000558,K101199,2024-02-10,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H013896,K127537,2024-02-10,telefon,Straksbetaling feiler med ukjent feilmelding. Haster litt.
H000690,K101443,2024-02-10,telefon,Bare ville si at rådgiveren min var til stor hjelp i refinansieringen. Takk!
H018570,K136759,2024-02-10,chat,Jeg ble trukket et gebyr jeg ikke kjenner igjen på kontoutskriften. Kan dere sjekke?
H003008,K105864,2024-02-10,e-post,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H004307,K108311,2024-02-10,e-post,Kan jeg få en oversikt over fondene dere anbefaler for langsiktig sparing?
H012616,K124852,2024-02-10,chat,Hei! Jeg ønsker tips til hvordan jeg bør sette opp sparing til barna.
H010861,K121374,2024-02-10,telefon,Hvorfor betaler jeg fortsatt månedspris på kundeprogrammet når jeg knapt bruker fordelene?
H013822,K127392,2024-02-10,e-post,Straksbetaling feiler med ukjent feilmelding. Haster litt.
